Control No.,PRE:1. Ang COVID-19 ay isang nakakahawang sakit na nagmula sa isang:,PRE:2. Ang COVID-19 ay naipapasa sa pamamagitan ng?,PRE:3. Alin ang mga sintomas para sa mga banayad (mild) na kaso ng COVID-19?,PRE:4. Alin ang mga sintomas para sa mga katamtaman (moderate) na kaso ng COVID-19?,PRE:5. Alin ang mga sintomas para sa mga malala (severe) na kaso ng COVID-19?,PRE:6. Maaari bang magkaiba ang sintomas sa bawat tao?,PRE:7. Sino ang higit na maaaring magkaroon ng malulubhang sintomas?,PRE:8. Ano ang dapat mong gawin kapag may nakasalamuha kang taong positibo sa COVID-19?,PRE:9. Ano ang dapat mong gawin kapag nag positibo ka sa COVID-19?,PRE:10. Kailan ligtas na makisalamuha sa iba kung ikaw ay nagpositibo sa COVID-19 at ikaw ay hindi kompromisado ang iyong immune system o nagkaroon ng malubhang kaso? ,PRE:11. Ang antibiotics ba ay maaaring gamiting gamot para sa COVID-19?,PRE:12. Ang paglanghap ba ng singaw ng mainit na tubig na may asin o pagsusuob ay nakakagamot sa COVID-19?,PRE:13. Ang COVID-19 ba ay nakahahawa lang sa mga lugar na may malalamig na klima?,PRE:14. Ang paghuhugas ng kamay upang maiwasan ang pagkalat ng COVID-19 ay hindi dapat bababa sa:,PRE:15. Ano ang mga dapat tandaan upang maiwasan ang COVID-19?
121,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.",,"Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
85,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
57,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
184,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C",,Mga edad 60 pataas,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
63,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
96,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
62,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
218,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
126,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
128,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)",Lagnat,"A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
